Nom Prenom;VIlle;adresse;Code postal;téléphone;Email
Jacqueline Potier-Chretien ; Lecoqnec ; 4, boulevard de Laporte 69 918 Devaux ; 74224 ; +33 (0)3 70 88 98 66 ; lnavarro@henry.com
Guillaume Maury ; Gaudin ; place Grégoire Pages 82420 Bertin-sur-Herve ; 02002 ; 06 31 96 95 39 ; alain.joubert@lemaire.fr
Hugues-Honoré Dupont ; Navarro ; 11, avenue Joséphine Michaud 74722 Hernandez ; 77584 ; 03 09 39 00 14 ; aleveque@wanadoo.fr
Grégoire Henry-Pierre ; Pottier ; impasse Begue 30108 DelaunayVille ; 05434 ; 04 68 73 14 63 ; qlebon@ollivier.com
Catherine Loiseau-Couturier ; Aubry ; 51, avenue Éric Vallet 93 080 Letellierdan ; 88377 ; +33 7 68 48 00 68 ; rolland.victoire@hotmail.fr
Margaux Lacombe ; Guillaume-sur-Mer ; 1, chemin Ferreira 37386 Weber-sur-Vidal ; 14 385 ; +33 4 34 92 24 06 ; blondel.theophile@lelievre.com
Élodie Roche ; De Oliveira-sur-Begue ; 6, avenue Joly 01663 Cohen-sur-Laurent ; 73 867 ; 01 38 95 05 77 ; coste.theodore@tiscali.fr
Julie-Denise Joubert ; Vasseurnec ; 256, chemin Marin 48 113 Bouvet ; 98 543 ; 0395670686 ; mlopes@andre.com
Vincent Lebrun ; Royer ; rue Marchal 17 174 Muller-la-Forêt ; 77 265 ; +33 1 01 21 91 65 ; dorothee.peltier@voila.fr
Thérèse Rousseau ; Paulboeuf ; 219, impasse de Briand 24234 Allardboeuf ; 44 615 ; +33 (0)7 30 97 44 15 ; wmathieu@wanadoo.fr
Martine-Véronique Perez ; Antoine ; 43, chemin de Da Silva 80 685 Leroux ; 72956 ; +33 3 71 34 80 96 ; tbesson@boutin.net
Martin du Rousset ; Lefebvre-sur-Mer ; 384, avenue Lombard 83899 Leger-les-Bains ; 32 279 ; 0198067992 ; wvalette@gmail.com
Julie-Audrey De Oliveira ; Normandboeuf ; 13, boulevard Boutin 40552 Gerard ; 17 229 ; +33 (0)8 91 68 30 09 ; evallet@voila.fr
Roland-Christophe Schmitt ; Pascal ; 93, place Lucas Bousquet 75 180 Dias-sur-Gonzalez ; 14 183 ; +33 (0)3 20 72 49 11 ; fischer.alfred@live.com
Augustin Lambert ; Briand-les-Bains ; 32, rue Christine Buisson 17515 Leduc ; 01451 ; 0573241779 ; guyot.gregoire@bourgeois.fr
Dorothée Pereira-Carre ; Delahayeboeuf ; 62, chemin Bourgeois 84659 LabbeBourg ; 79 237 ; +33 3 75 75 04 76 ; sgaillard@ifrance.com
Vincent Schmitt ; Bruneau-les-Bains ; 5, chemin Henriette Marechal 29678 Jacquotboeuf ; 44 287 ; +33 (0)9 08 70 54 23 ; khumbert@hotmail.fr
Juliette Gaudin ; Chartier ; 16, rue Laurence Voisin 98261 Bodin ; 57 462 ; 0641551047 ; oceane57@sfr.fr
Benoît Lucas-Lopez ; Payetboeuf ; 3, avenue Benoit 55 176 Raynaud ; 57 876 ; 0800285184 ; gregoire71@hotmail.fr
Geneviève Robert ; Delaunay-sur-Ledoux ; rue de Guerin 55 135 PottierVille ; 41091 ; 01 92 42 58 30 ; zjacquet@rocher.com
Lucie Hamon ; Hamon ; 201, place Zacharie Rodrigues 00127 Germain ; 47 369 ; +33 9 36 54 97 30 ; alain18@gmail.com
Frédéric de Royer ; Colinnec ; 71, impasse Michelle Lebreton 62016 Dijoux ; 40272 ; 0444996416 ; acharpentier@club-internet.fr
Nathalie de la Gomes ; Rey-sur-Barbe ; place Lemonnier 71773 Laurent ; 12091 ; 0137183705 ; francoise97@nicolas.com
Jean-Nicolas Vasseur ; Thomas-les-Bains ; 62, chemin Le Gall 08 857 Martel ; 76 596 ; 0946501650 ; nhubert@gay.org
Lorraine Gosselin ; Maurice-sur-Mer ; 8, impasse De Sousa 93 710 Auger ; 86 727 ; 06 36 89 11 73 ; julien.peron@free.fr
Franck Marchand ; Berniernec ; 50, rue Bodin 15648 Fontaine ; 70 124 ; +33 (0)8 28 32 34 73 ; ogimenez@live.com
Guy de la Devaux ; Faivre ; 551, chemin Jacqueline Evrard 06737 Meunier ; 85816 ; 09 46 68 71 27 ; martineau.claire@orange.fr
Christelle Langlois ; GuillotVille ; 7, place Léon Dupre 65 149 Valette-sur-Wagner ; 28947 ; +33 5 50 25 18 47 ; theophile.gilbert@sfr.fr
Augustin du Peltier ; Bruneaudan ; 782, impasse de Goncalves 43530 Charrier ; 95 808 ; +33 2 03 62 80 15 ; uthierry@leblanc.com
Claudine-Monique Sauvage ; Brunelboeuf ; rue de Pascal 04361 Valentin ; 63 534 ; +33 1 56 16 83 07 ; pruvost.roger@club-internet.fr
Clémence Gauthier ; Coste ; 4, avenue Thomas Renault 83 417 Blot-sur-Leclercq ; 22076 ; 0970814234 ; sabine45@dossantos.fr
